dealer,review_text,source,clean_review,word_count,tb_polarity,vader_compound,sentiment
Ed Martin Toyota,"and James Schubert!
You made buying our Toyota Highlander so Easy!! Ed Martin Toyota definitely treats you like family! Awesome People!!",DealerRater,and james schubert! you made buying our toyota highlander so easy!! ed martin toyota definitely treats you like family! awesome people!!,21,0.5590277777777778,0.935,Positive
Ed Martin Toyota,way through the process of me buying my new vehicle. He was easy to work with and very professional!,DealerRater,way through the process of me buying my new vehicle. he was easy to work with and very professional!,19,0.24406565656565657,0.4926,Positive
Ed Martin Toyota,He was knowledgeable and he made the process of buying a car easy. If I need another car I will specifically ask for Michael again.,DealerRater,he was knowledgeable and he made the process of buying a car easy. if i need another car i will specifically ask for michael again.,25,0.43333333333333335,0.4404,Positive
Ed Martin Toyota,"He was eligible to help us get where we needed to be for a monthly payment and was very communicative without being pushy. We did not expect to go in and buy a car that day, but everything aligned correctly, and we walked away happy.",DealerRater,"he was eligible to help us get where we needed to be for a monthly payment and was very communicative without being pushy. we did not expect to go in and buy a car that day, but everything aligned correctly, and we walked away happy.",45,0.5,0.8078,Positive
Ed Martin Toyota,"From the moment we walked into the dealership to the finance process, it was wonderful. Mike went up and beyond to help us and he even stayed late for us. We had to order our vehicle so it took about 6 weeks for it to come in. He kept us updated along the way without us even reaching out for updates. I would highly recommend Ed Martin Toyota. The other sales people were nice to use when we walked around but we worked with Mike and we were very happy with our experience.",DealerRater,"from the moment we walked into the dealership to the finance process, it was wonderful. mike went up and beyond to help us and he even stayed late for us. we had to order our vehicle so it took about 6 weeks for it to come in. he kept us updated along the way without us even reaching out for updates. i would highly recommend ed martin toyota. the other sales people were nice to use when we walked around but we worked with mike and we were very happy with our experience.",93,0.38916666666666666,0.904,Positive
Ed Martin Toyota,"They did an awesome job providing regular maintenance service before selling the vehicle! Also, dog friendly dealerships are always a better place to be!",DealerRater,"they did an awesome job providing regular maintenance service before selling the vehicle! also, dog friendly dealerships are always a better place to be!",24,0.5,0.8953,Positive
Ed Martin Toyota,Will definitely buy from Ben again. Very happy with everything.,DealerRater,will definitely buy from ben again. very happy with everything.,10,0.5,0.7713,Positive
Ed Martin Toyota,Team. They communicated very well throughout the whole process and made sure to answer every one of my questions. Highly recommend this team.,DealerRater,team. they communicated very well throughout the whole process and made sure to answer every one of my questions. highly recommend this team.,23,0.265,0.7569,Positive
Ed Martin Toyota,"He was polite, patient, HONEST and very knowledgeable.  We ran into a few issues, Mike and the dealership bent over backwards to work with us, and we left with a great deal, Mike was by far the best car salesmen I have ever worked with in the last 40 years.  I would again drive the 100+ plus miles to purchase another car from him and the dealership. Thanks again",DealerRater,"he was polite, patient, honest and very knowledgeable. we ran into a few issues, mike and the dealership bent over backwards to work with us, and we left with a great deal, mike was by far the best car salesmen i have ever worked with in the last 40 years. i would again drive the 100+ plus miles to purchase another car from him and the dealership. thanks again",69,0.30000000000000004,0.9382,Positive
Ed Martin Toyota,questions! Very knowledgable and kind. Highly recommend!,DealerRater,questions! very knowledgable and kind. highly recommend!,7,0.3333333333333333,0.793,Positive
Ed Martin Toyota,Felt like Ed Martin tried hard to keep my business. Never liked car shopping but it was a better experience than I've had in the past at other dealerships.,DealerRater,felt like ed martin tried hard to keep my business. never liked car shopping but it was a better experience than i've had in the past at other dealerships.,29,-0.09333333333333334,0.5767,Positive
